id;code;name;line_1;line_2;zip;city;country;language;email;phone;billing_email;billing_phone;bank;iban;rcs;vat_id;vat_rate;notes;created;updated
1;loosely via;an;splice;when invigilate stitch;whoa dream;Eulahbury;Micronesia;EN;Yessenia.Rice24@hotmail.com;686.205.9884 x209;exile oh especially;and;blah indeed which;JO05DFRM0082070850811090430019;bitterly gratefully;enormous madly snarf;12599.69;meander youthfully questioningly;2023-12-20T05:38:09;2023-12-20T10:41:53
2;along meanwhile;grocery however;ripe generally;ha before horseradish;township unimpressively;Ziemetown;Antarctica;ES;Alyson79@hotmail.com;376-345-4391 x945;frosty fooey;consequently usually;whose innocently;PL03790553198454899519080023;past kookily;through;4507.92;notwithstanding;2023-12-20T16:21:27;2023-12-20T03:10:26
3;where roughly welfare;drat including readdress;coffin purvey;absent;mock as ouch;Lake Jake;Palestine;ES;Porter_Ankunding@hotmail.com;449-869-8535 x477;geez as;although;noisily;ME62701112637689005058;upon;um;13434.99;unlike;2023-12-20T15:42:16;2023-12-20T06:46:40
4;pfft vacantly so;qua;likewise if unless;hungrily that strictly;brownie;Kuphalview;Trinidad and Tobago;ES;Bell.Wyman@hotmail.com;1-909-921-9085 x7927;aunt underscore trustworthy;hence before until;generously offensive rappel;RO35LOEZ916SH1430H595203;likewise assent;delete happiness;2979.31;yippee;2023-12-19T23:07:22;2023-12-19T22:24:36
5;valuable ah united;provided live;jot bah spry;quaff intern;curtain;Ellsworthworth;Taiwan;FR;Leland_Cartwright@yahoo.com;775-233-5042 x59168;knowingly;likewise;especially;PL84468020049740256701213663;majestically;partition vivid whose;17687.08;transplantation;2023-12-20T13:08:42;2023-12-20T13:02:47
6;than bop whose;adventurously how;ugh drat;snarl;likewise;South Mattie;Lesotho;EN;Frank_Satterfield36@gmail.com;1-439-478-1180 x10947;expectancy;wrongly the;nor weight carefully;MK18083052564951470;eek eek frail;caw;18711.53;geez incomplete husky;2023-12-20T00:44:45;2023-12-20T02:51:03
7;midst now;alarming up;through editorial;pastel;prune down;Stehrworth;Algeria;FR;Reginald.Spinka50@gmail.com;1-872-530-0344 x0698;yahoo;contend diligently;excitable following;BE96083000980099;handmade;regulate aboard;3498.19;bogus unaccountably;2023-12-19T23:15:15;2023-12-20T15:13:56
8;mockingly inasmuch busily;selfishly greedily equation;unlike during nor;politely luxury;failing mechanically scarce;Port Burnicefurt;Pakistan;ES;Alex_Ebert@gmail.com;969.431.8591 x1225;randomise and;demolish while through;upside-down;MR0707940600830096002706894;afore;composed;23419.76;welcome red contain;2023-12-19T20:31:00;2023-12-20T07:57:27
9;dish likewise;tidy;uh-huh antigen avenge;drat ick rubbery;inasmuch;Hauckview;Sint Maarten;ES;Shyann_Parker73@gmail.com;583.432.8925 x94336;basin admirable along;blah oh pfft;explore organic interestingly;TL200921609245700550518;princess accurate um;ouch;11062.2;cross;2023-12-20T10:08:28;2023-12-20T14:02:45
10;administer wherever incidentally;affix sanctuary equate;thoroughly gosh well-lit;modulate gemsbok;till although;Lake Bailey;Saint Lucia;FR;Eusebio.Conroy@hotmail.com;1-730-969-5279 x8124;corrode;behind throughout;that;BA606030080040700310;that ick;highly however;9568.78;dearly;2023-12-20T14:39:28;2023-12-20T05:41:36
