id;company_id;title;message;language;image_url;video_url;starts;expires
1;3057;oh terrify;surface lollipop;ES;like boo;overconfidently;2023-12-20;2023-12-20
2;22551;stinger concerning french;furthermore inasmuch engineering;DE;manure geez;upbeat phooey indication;2023-12-20;2023-12-19
3;23336;oof;fabulous;EN;how superiority although;furiously gah;2023-12-20;2023-12-19
4;24067;minus along dollop;mince ah intubate;DE;till after over;nightmare essential;2023-12-20;2023-12-19
5;4551;quickly grief bouncy;promulgate when hm;EN;how silently;exclude yearly excluding;2023-12-20;2023-12-20
6;31343;handful;fickle aha;DE;correctly;sandy hydrofoil;2023-12-20;2023-12-20
7;15752;fraudster;outrun wilted although;FR;regular;for fancy worldly;2023-12-19;2023-12-19
8;264;provided afore;question;FR;help lengthen;pish sparkling;2023-12-20;2023-12-19
9;11077;chill elementary;who kissingly;EN;ultimately;since;2023-12-20;2023-12-19
10;26349;network haunt;pro quotation anxiously;FR;less;grown steep;2023-12-20;2023-12-20
