id;type;name;line_1;line_2;zip;city;country;email;phone;notes;created;updated
1;OTHER;hm loosely that;beneath;self-assured;what;Hermanworth;Taiwan;Barton84@yahoo.com;998.433.7149 x1565;calmly pointed;2023-12-19T20:16:59;2023-12-20T11:13:03
2;PAYMENT;surmise;except;alongside clog instead;which;Rowanview;Republic of Korea;Sandy45@yahoo.com;1-215-352-4680 x06099;youthfully tenderly enraged;2023-12-20T12:57:00;2023-12-20T02:21:33
3;PAYMENT;whoever;stunning satisfy;till piece speedily;although after acidic;East Guiseppecester;Russian Federation;Madilyn_DuBuque56@yahoo.com;1-442-976-4663 x5780;ick;2023-12-20T06:17:56;2023-12-20T11:52:02
4;PRIMARY;consider;unsteady belong lest;sunny per;over;Jamisonfort;Kyrgyz Republic;Grant_Schuppe73@hotmail.com;260-222-9132 x0317;energetically array uh-huh;2023-12-19T19:10:33;2023-12-20T15:45:35
5;PRIMARY;ick;shy;liar mature output;general for;Lake Stacyton;Algeria;Avis.Lakin@gmail.com;918.892.5244;despite until;2023-12-19T20:17:15;2023-12-20T11:50:42
6;PAYMENT;until ouch;ick far obnoxiously;cleric;dreamily;West Babylon;Yemen;Eugenia.Tremblay@hotmail.com;725-723-6378 x415;consequently;2023-12-19T18:50:20;2023-12-19T21:07:15
7;OTHER;network pull;strange;storey;because debtor;O'Connerberg;French Polynesia;Felipa50@gmail.com;616.970.5002 x48199;table;2023-12-20T09:43:40;2023-12-19T22:42:03
8;PAYMENT;jaggedly;existence monstrous;finally;whereas angrily;O'Connellworth;Central African Republic;Eleanore73@gmail.com;1-989-501-4099;coolly furthermore;2023-12-20T02:31:23;2023-12-20T04:03:01
9;PRIMARY;weird er;overextend fiercely unlike;until incidentally expectancy;whether;Farrellcester;Virgin Islands, U.S.;Jasper_Kuhic@hotmail.com;515-922-9295 x576;amongst;2023-12-20T03:08:54;2023-12-19T18:51:54
10;OTHER;uh-huh whenever;induce;abaft dependent;vacantly wrathful incomparable;Lake Rey;United Kingdom;Margarett80@gmail.com;362.961.5606 x20292;whoever heavily;2023-12-20T16:16:38;2023-12-19T20:30:57
